user_id,IF_score,OCSVM_score,avg_anomaly_score,rf_attack_ratio,xgb_attack_ratio,rf_avg_confidence,xgb_avg_confidence,agreement_rate,fusion_risk_score,explanation
NKH0979,0.3871621140972517,-3.24050512905811,-1.4266715074804293,0.0,0.0,0.0,0.0,0.0,2.3584356019023587,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
AAF0535,0.3720649012042975,-3.217064356373544,-1.422499727584623,0.0,0.0,0.0,0.0,0.0,2.337292160815693,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
CNB0900,0.3805244112899263,-3.199870185003379,-1.4096728868567263,0.0,0.0,0.0,0.0,0.0,2.272283086024628,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
BMT0528,0.3878066059652597,-3.145421096476641,-1.3788072452556908,0.0,0.0,0.0,0.0,0.0,2.1158496472783326,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
TMA0069,0.3696257781140838,-3.0473724661854025,-1.3388733440356593,0.0,0.0,0.0,0.0,0.0,1.9134563981389776,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
HFB0347,0.3840455199202071,-3.06163772385934,-1.3387961019695664,0.0,0.0,0.0,0.0,0.0,1.9130649194141565,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
SAP0867,0.3845519782864752,-3.0612731792125176,-1.3383606004630213,0.0,0.0,0.0,0.0,0.0,1.9108577079416509,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
MOS0047,0.3693671280455963,-3.032574106145611,-1.3316034890500072,0.0,0.0,0.0,0.0,0.0,1.8766112734112192,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
EDB0714,0.3866183676244628,-3.037082128562071,-1.325231880468804,0.0,0.0,0.0,0.0,0.0,1.8443186467557733,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
AAF0791,0.3735053179777907,-3.0212984680906967,-1.323896575056453,0.0,0.0,0.0,0.0,0.0,1.837551043472789,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
ILC0838,0.3881738206456432,-3.034314202610978,-1.3230701909826674,0.0,0.0,0.0,0.0,0.0,1.8333627585163823,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
FHS0837,0.3764047702877148,-3.016850789859048,-1.3202230097856666,0.0,0.0,0.0,0.0,0.0,1.8189326568798208,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
MBG0438,0.3913405162394423,-3.029095594665026,-1.3188775392127918,0.0,0.0,0.0,0.0,0.0,1.812113534466383,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
AHD0848,0.3891558166575199,-3.024376593699835,-1.3176103885211574,0.0,0.0,0.0,0.0,0.0,1.805691353367272,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
TBT0461,0.3863900472069808,-3.020199714827524,-1.3169048338102716,0.0,0.0,0.0,0.0,0.0,1.8021154565473,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
LEM0605,0.3925596940643182,-3.0245866403976773,-1.3160134731666795,0.0,0.0,0.0,0.0,0.0,1.7975978569314366,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
AMD0077,0.379993548516723,-3.0083268410864084,-1.3141666462848427,0.0,0.0,0.0,0.0,0.0,1.7882377573220012,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
KBL0260,0.3902297888508527,-3.0166524206381244,-1.3132113158936358,0.0,0.0,0.0,0.0,0.0,1.78339594582924,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
PKB0429,0.385456882174934,-3.010795856705032,-1.312669487265049,0.0,0.0,0.0,0.0,0.0,1.78064984656856,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
ELB0847,0.3847338124962932,-2.9933109149649453,-1.304288551234326,0.0,0.0,0.0,0.0,0.0,1.7381735339052673,"[Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
